sep=;
Nr.;Nume Produs;UM;Pret Fara TVA;Pret Cu TVA;Moneda;Cod EAN;Cod Produs;Observatii 1;Observatii 2;Tip;Pret 2;Pret 2 Cu TVA;Pret 3;Pret 3 Cu Tva;Cota TVA;Categorie Produse;Accize;Greutate (Kg);Observatii 3;Observatii 4;
1.; RAMA GUESS GU 2706;BUC;;550.00;RON;6429887850609;;;;Produs;;;;;9%; - RAMA - GUESS;;;;;
2.;PLASTIC OFERTA;1095;;130.00;RON;6425216361785;;;;Produs;;;;;19%; - RAMA;;;;;
3.;RAMA AB ORIGINAL 2129;BUC;;280.00;RON;6422287180918;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
4.;RAMA AB ORIGINAL 2244;BUC;;210.00;RON;6427681587127;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
5.;RAMA AB ORIGINAL 2271;BUC;;290.00;RON;6423737094779;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
6.;RAMA AB ORIGINAL 2771;BUC;;280.00;RON;6423655167579;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
7.;RAMA AB ORIGINAL 2793;BUC;;280.00;RON;6421545517718;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
8.;RAMA AB ORIGINAL 2799;BUC;;280.00;RON;6426423806755;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
9.;RAMA AB ORIGINAL 2799;BUC;;280.00;RON;6429336892556;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
10.;RAMA AB ORIGINAL 2801;BUC;;280.00;RON;6423572099878;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
11.;RAMA AB ORIGINAL 2803;BUC;;280.00;RON;6427028646180;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
12.;RAMA AB ORIGINAL 2930;BUC;;280.00;RON;6425811159763;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
13.;RAMA AB ORIGINAL 2930;BUC;;280.00;RON;6428790230898;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
14.;RAMA AB ORIGINAL 6860;BUC;;280.00;RON;6421895199558;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
15.;RAMA AB ORIGINAL 6860;BUC;;280.00;RON;6428079829805;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
16.;RAMA AB ORIGINAL 6860;BUC;;280.00;RON;6429252561048;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
17.;RAMA AB ORIGINAL 6861;BUC;;280.00;RON;6425823343556;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
18.;RAMA AB ORIGINAL 6903;BUC;;280.00;RON;6424559424850;;;;Produs;;;;;19%; - RAMA - ACTIVE;;;;;
19.;RAMA AB ORIGINAL 6903;BUC;;280.00;RON;6425255233975;;;;Produs;;;;;19%; - RAMA - AB ORIGINAL;;;;;
